municipio,UF,Módulo fiscal (ha),,
Vidal Ramos,SC,12,,
Videira,SC,18,,
Vitor Meireles,SC,18,,
Witmarsum,SC,18,,
Xanxerê,SC,18,,
Xavantina,SC,20,,
Xaxim,SC,20,,
Zortéa,SC,20,,
Amparo de São Francisco,SE,45,,
Aquidabã,SE,40,,
Aracaju,SE,7,,
Arauá,SE,30,,
Areia Branca,SE,35,,
Barra dos Coqueiros,SE,5,,
Boquim,SE,30,,
Brejo Grande,SE,18,,
Campo do Brito,SE,35,,
Canhoba,SE,45,,
Canindé de São Francisco,SE,70,,
Capela,SE,30,,
Carira,SE,70,,
Carmópolis,SE,18,,
Cedro de São João,SE,40,,
Cristinápolis,SE,35,,
Cumbe,SE,40,,
Divina Pastora,SE,30,,
Estância,SE,10,,
Feira Nova,SE,70,,
Frei Paulo,SE,70,,
Gararu,SE,70,,
General Maynard,SE,18,,
Gracho Cardoso,SE,70,,
Ilha das Flores,SE,18,,
Indiaroba,SE,10,,
Itabaiana,SE,20,,
Itabaianinha,SE,30,,
Itabi,SE,70,,
Itaporanga D'ajuda,SE,10,,
Japaratuba,SE,30,,
Japoatã,SE,35,,
Lagarto,SE,35,,
Laranjeiras,SE,30,,
Macambira,SE,60,,
Malhada dos Bois,SE,40,,
Malhador,SE,30,,
Maruim,SE,35,,
Moita Bonita,SE,20,,
Monte Alegre de Sergipe,SE,70,,
Muribeca,SE,40,,
Neópolis,SE,35,,
Nossa Senhora Aparecida,SE,70,,
Nossa Senhora da Glória,SE,70,,
Nossa Senhora das Dores,SE,40,,
Nossa Senhora de Lourdes,SE,60,,
Nossa Senhora do Socorro,SE,10,,
Pacatuba,SE,20,,
Pedra Mole,SE,70,,
Pedrinhas,SE,30,,
Pinhão,SE,70,,
Pirambu,SE,18,,
Poço Redondo,SE,70,,
Poço Verde,SE,40,,
Porto da Folha,SE,70,,
Propriá,SE,35,,
Riachão do Dantas,SE,35,,
Riachuelo,SE,35,,
Ribeirópolis,SE,70,,
Rosário do Catete,SE,30,,
Salgado,SE,30,,
Santa Luzia do Itanhy,SE,10,,
Santa Rosa de Lima,SE,35,,
Santana do São Francisco,SE,35,,
Santo Amaro das Brotas,SE,20,,
São Cristóvão,SE,10,,
São Domingos,SE,30,,
São Francisco,SE,40,,
São Miguel do Aleixo,SE,70,,
Simão Dias,SE,40,,
Siriri,SE,35,,
Telha,SE,40,,
Tobias Barreto,SE,70,,
Tomar do Geru,SE,40,,
Umbaúba,SE,14,,
Adamantina,SP,20,,
Adolfo,SP,22,,
Aguaí,SP,18,,
Águas da Prata,SP,22,,
Águas de Lindóia,SP,16,,
Águas de Santa Bárbara,SP,30,,
Águas de São Pedro,SP,18,,
Agudos,SP,12,,
Alambari,SP,22,,
Alfredo Marcondes,SP,22,,
Altair,SP,28,,
Altinópolis,SP,22,,
Alto Alegre,SP,30,,
Alumínio,SP,12,,
Álvares Florence,SP,28,,
Álvares Machado,SP,22,,
Álvaro de Carvalho,SP,14,,
Alvinlândia,SP,14,,
Americana,SP,12,,
Américo Brasiliense,SP,12,,
Américo de Campos,SP,30,,
Amparo,SP,20,,
Analândia,SP,18,,
Andradina,SP,30,,
Angatuba,SP,22,,
Anhembi,SP,30,,
Anhumas,SP,24,,
Aparecida,SP,24,,
Aparecida D'oeste,SP,30,,
Apiaí,SP,16,,
Araçariguama,SP,12,,
Araçatuba,SP,30,,
Araçoiaba da Serra,SP,12,,
Aramina,SP,20,,
Arandu,SP,22,,
Arapeí,SP,24,,
Araraquara,SP,12,,
Araras,SP,10,,
Arco-═ris,SP,20,,
Arealva,SP,14,,
Areias,SP,35,,
Areiópolis,SP,16,,
Ariranha,SP,16,,
Artur Nogueira,SP,10,,
Arujá,SP,5,,
Aspásia,SP,26,,
Assis,SP,20,,
Atibaia,SP,16,,
Auriflama,SP,35,,
Avaí,SP,14,,
Avanhandava,SP,30,,
Avaré,SP,30,,
Bady Bassitt,SP,16,,
Balbinos,SP,20,,
Bálsamo,SP,20,,
Bananal,SP,24,,
Barão de Antonina,SP,20,,
Barbosa,SP,30,,
Bariri,SP,16,,
Barra Bonita,SP,14,,
Barra do Chapéu,SP,16,,
Barra do Turvo,SP,16,,
Barretos,SP,22,,
Barrinha,SP,12,,
Barueri,SP,7,,
Bastos,SP,16,,
Batatais,SP,22,,
Bauru,SP,12,,
Bebedouro,SP,14,,
Bento de Abreu,SP,30,,
Bernardino de Campos,SP,20,,
Bertioga,SP,10,,
Bilac,SP,30,,
Birigui,SP,30,,
Biritiba-Mirim,SP,5,,
Boa Esperança do Sul,SP,12,,
Bocaina,SP,16,,
Bofete,SP,20,,
Boituva,SP,18,,
Bom Jesus dos Perd§es,SP,16,,
Bom Sucesso de Itararé,SP,20,,
Borá,SP,20,,
Boracéia,SP,16,,
Borborema,SP,16,,
Borebi,SP,12,,
Botucatu,SP,20,,
Bragança Paulista,SP,16,,
Braúna,SP,30,,
Brejo Alegre,SP,30,,
Brodowski,SP,22,,
Brotas,SP,18,,
Buri,SP,20,,
Buritama,SP,30,,
Buritizal,SP,22,,
Cabrália Paulista,SP,12,,
Cabreúva,SP,12,,
Caçapava,SP,16,,
Cachoeira Paulista,SP,24,,
Caconde,SP,22,,
Cafelândia,SP,20,,
Caiabu,SP,22,,
Caieiras,SP,7,,
Caiuá,SP,30,,
Cajamar,SP,7,,
Cajati,SP,16,,
Cajobi,SP,16,,
Cajuru,SP,16,,
Campina do Monte Alegre,SP,22,,
Campinas,SP,10,,
Campo Limpo Paulista,SP,12,,
Campos do Jordão,SP,12,,
Campos Novos Paulista,SP,20,,
Cananéia,SP,16,,
Canas,SP,24,,
Cândido Mota,SP,20,,
Cândido Rodrigues,SP,14,,
Canitar,SP,20,,
Capão Bonito,SP,16,,
Capela do Alto,SP,18,,
Capivari,SP,10,,
Caraguatatuba,SP,16,,
Carapicuíba,SP,5,,
Cardoso,SP,30,,
Casa Branca,SP,18,,
Cássia dos Coqueiros,SP,16,,
Castilho,SP,35,,
Catanduva,SP,16,,
Catiguá,SP,16,,
Cedral,SP,20,,
Cerqueira César,SP,22,,
Cerquilho,SP,20,,
Cesário Lange,SP,18,,
Charqueada,SP,10,,
Chavantes,SP,20,,
Clementina,SP,30,,
Colâmbia,SP,22,,
Colina,SP,18,,
Conchal,SP,12,,
Conchas,SP,30,,
Cordeirópolis,SP,10,,
Coroados,SP,30,,
Coronel Macedo,SP,20,,
Corumbataí,SP,18,,
Cosmópolis,SP,10,,
Cosmorama,SP,30,,
Cotia,SP,5,,
Cravinhos,SP,12,,
Cristais Paulista,SP,16,,
Cruzália,SP,20,,
Cruzeiro,SP,24,,
Cubatão,SP,10,,
Cunha,SP,40,,
Descalvado,SP,12,,
Diadema,SP,7,,
Dirce Reis,SP,22,,
Divinolândia,SP,22,,
Dobrada,SP,12,,
Dois Córregos,SP,18,,
Dolcinópolis,SP,30,,
Dourado,SP,14,,
Dracena,SP,20,,
Duartina,SP,12,,
Dumont,SP,12,,
Echaporã,SP,20,,
Eldorado,SP,16,,
Ëleo,SP,20,,
Elias Fausto,SP,10,,
Elisiário,SP,16,,
Embaúba,SP,16,,
Embu,SP,5,,
Embu-Guaçu,SP,5,,
Emilianópolis,SP,22,,
Engenheiro Coelho,SP,10,,
Espírito Santo do Pinhal,SP,22,,
Espírito Santo do Turvo,SP,20,,
Estiva Gerbi,SP,18,,
Estrela do Norte,SP,22,,
Estrela D'oeste,SP,26,,
Euclides da Cunha Paulista,SP,30,,
Fartura,SP,20,,
Fernando Prestes,SP,14,,
Fernandópolis,SP,26,,
Fernão,SP,14,,
Ferraz de Vasconcelos,SP,5,,
Flora Rica,SP,22,,
Floreal,SP,35,,
Flórida Paulista,SP,22,,
Florínia,SP,20,,
Franca,SP,16,,
Francisco Morato,SP,7,,
Franco da Rocha,SP,7,,
Gabriel Monteiro,SP,30,,
Gália,SP,14,,
Garça,SP,14,,
Gastão Vidigal,SP,35,,
Gavião Peixoto,SP,12,,
General Salgado,SP,35,,
Getulina,SP,22,,
Glicério,SP,30,,
Guaiçara,SP,22,,
Guaimbê,SP,20,,
Guaíra,SP,22,,
Guapiaçu,SP,16,,
Guapiara,SP,16,,
Guará,SP,22,,
Guaraçaí,SP,30,,
Guaraci,SP,30,,
Guarani D'oeste,SP,30,,
Guarantã,SP,20,,
Guararapes,SP,30,,
Guararema,SP,7,,
Guaratinguetá,SP,24,,
Guareí,SP,22,,
Guariba,SP,14,,
Guarujá,SP,10,,
Guarulhos,SP,5,,
Guatapará,SP,10,,
Guzolândia,SP,35,,
Herculândia,SP,20,,
Holambra,SP,10,,
Hortolândia,SP,10,,
Iacanga,SP,20,,
Iacri,SP,16,,
Iaras,SP,30,,
Ibaté,SP,12,,
Ibirá,SP,20,,
Ibirarema,SP,20,,
Ibitinga,SP,12,,
Ibiúna,SP,16,,
Icém,SP,28,,
Iepê,SP,24,,
Igaraçu do Tietê,SP,14,,
Igarapava,SP,20,,
Igaratá,SP,14,,
Iguape,SP,16,,
Ilha Comprida,SP,16,,
Ilha Solteira,SP,30,,
Ilhabela,SP,16,,
Indaiatuba,SP,10,,
Indiana,SP,22,,
Indiaporã,SP,30,,
Inúbia Paulista,SP,22,,
Ipaussu,SP,20,,
Iperó,SP,12,,
Ipeúna,SP,16,,
Ipiguá,SP,12,,
Iporanga,SP,16,,
Ipuã,SP,22,,
Iracemápolis,SP,10,,
Irapuã,SP,22,,
Irapuru,SP,20,,
Itaberá,SP,20,,
Itaí,SP,20,,
Itajobi,SP,22,,
Itaju,SP,16,,
Itanhaém,SP,10,,
Itaóca,SP,16,,
Itapecerica da Serra,SP,5,,
Itapetininga,SP,22,,
Itapeva,SP,20,,
Itapevi,SP,5,,
Itapira,SP,20,,
Itapirapuã Paulista,SP,16,,
Itápolis,SP,16,,
Itaporanga,SP,20,,
Itapuí,SP,14,,
Itapura,SP,35,,
Itaquaquecetuba,SP,5,,
Itararé,SP,20,,
Itariri,SP,10,,
Itatiba,SP,12,,
Itatinga,SP,30,,
Itirapina,SP,14,,
Itirapuã,SP,16,,
Itobi,SP,22,,
Itu,SP,12,,
Itupeva,SP,10,,
Ituverava,SP,22,,
Jaborandi,SP,18,,
Jaboticabal,SP,14,,
Jacareí,SP,12,,
Jaci,SP,20,,
Jacupiranga,SP,16,,
Jaguariúna,SP,10,,
Jales,SP,26,,
Jambeiro,SP,30,,
Jandira,SP,7,,
Jardinópolis,SP,14,,
Jarinu,SP,12,,
Jaú,SP,14,,
Jeriquara,SP,16,,
Joanópolis,SP,24,,
João Ramalho,SP,24,,
José Bonifácio,SP,30,,
Júlio Mesquita,SP,12,,
Jumirim,SP,26,,
Jundiaí,SP,10,,
Junqueirópolis,SP,20,,
Juquiá,SP,16,,
Juquitiba,SP,7,,
Lagoinha,SP,35,,
Laranjal Paulista,SP,18,,
Lavínia,SP,30,,
Lavrinhas,SP,24,,
Leme,SP,18,,
Lençóis Paulista,SP,12,,
Limeira,SP,10,,
Lindóia,SP,16,,
Lins,SP,22,,
Lorena,SP,24,,
Lourdes,SP,30,,
Louveira,SP,10,,
Lucélia,SP,20,,
Lucianópolis,SP,12,,
Luís Antânio,SP,14,,
Luiziânia,SP,30,,
Lupércio,SP,14,,
Lutécia,SP,20,,
Macatuba,SP,14,,
Macaubal,SP,30,,
Macedânia,SP,30,,
Magda,SP,35,,
Mairinque,SP,12,,
Mairiporã,SP,7,,
Manduri,SP,20,,
Marabá Paulista,SP,30,,
Maracaí,SP,20,,
Marapoama,SP,22,,
Mariápolis,SP,22,,
Marília,SP,14,,
Marinópolis,SP,22,,
Martinópolis,SP,24,,
Matão,SP,12,,
Mauá,SP,5,,
Mendonça,SP,30,,
Meridiano,SP,26,,
Mesópolis,SP,30,,
Miguelópolis,SP,22,,
Mineiros do Tietê,SP,16,,
Mira Estrela,SP,30,,
Miracatu,SP,16,,
Mirandópolis,SP,30,,
Mirante do Paranapanema,SP,30,,
Mirassol,SP,16,,
Mirassolândia,SP,24,,
Mococa,SP,22,,
Mogi Guaçu,SP,18,,
Moji das Cruzes,SP,5,,
Moji Mirim,SP,18,,
Mombuca,SP,10,,
Monç§es,SP,35,,
Mongaguá,SP,10,,
Monte Alegre do Sul,SP,16,,
Monte Alto,SP,14,,
Monte Aprazível,SP,30,,
Monte Azul Paulista,SP,14,,
Monte Castelo,SP,22,,
Monte Mor,SP,10,,
Monteiro Lobato,SP,14,,
Morro Agudo,SP,22,,
Morungaba,SP,12,,
Motuca,SP,12,,
Murutinga do Sul,SP,30,,
Nantes,SP,24,,
Narandiba,SP,24,,
Natividade da Serra,SP,40,,
Nazaré Paulista,SP,16,,
Neves Paulista,SP,26,,
Nhandeara,SP,35,,
Nipoã,SP,30,,
Nova Aliança,SP,20,,
Nova Campina,SP,20,,
Nova Canaã Paulista,SP,26,,
Nova Castilho,SP,35,,
Nova Europa,SP,12,,
Nova Granada,SP,22,,
Nova Guataporanga,SP,18,,
Nova Independência,SP,35,,
Nova Luzitânia,SP,35,,
Nova Odessa,SP,10,,
Novais,SP,16,,
Novo Horizonte,SP,22,,
Nuporanga,SP,22,,
Ocauçu,SP,14,,
Olímpia,SP,20,,
Onda Verde,SP,22,,
Oriente,SP,14,,
Orindiúva,SP,30,,
Orlândia,SP,22,,
Osasco,SP,5,,
Oscar Bressane,SP,20,,
Osvaldo Cruz,SP,18,,
Ourinhos,SP,20,,
Ouro Verde,SP,20,,
Ouroeste,SP,30,,
Pacaembu,SP,18,,
Palestina,SP,24,,
Palmares Paulista,SP,16,,
Palmeira D'oeste,SP,22,,
Palmital,SP,20,,
Panorama,SP,30,,
Paraguaçu Paulista,SP,20,,
Paraibuna,SP,30,,
Paraíso,SP,16,,
Paranapanema,SP,22,,
Paranapuã,SP,30,,
Parapuã,SP,18,,
Pardinho,SP,24,,
Pariquera-Açu,SP,16,,
Parisi,SP,24,,
Patrocínio Paulista,SP,16,,
Paulicéia,SP,30,,
Paulínia,SP,10,,
Paulistânia,SP,12,,
Paulo de Faria,SP,30,,
Pederneiras,SP,14,,
Pedra Bela,SP,20,,
Pedranópolis,SP,26,,
Pedregulho,SP,20,,
Pedreira,SP,18,,
Pedrinhas Paulista,SP,20,,
Pedro de Toledo,SP,10,,
Penápolis,SP,30,,
Pereira Barreto,SP,30,,
Pereiras,SP,30,,
Peruíbe,SP,10,,
Piacatu,SP,30,,
Piedade,SP,16,,
Pilar do Sul,SP,16,,
Pindamonhangaba,SP,16,,
Pindorama,SP,16,,
Pinhalzinho,SP,16,,
Piquerobi,SP,30,,
Piquete,SP,24,,
Piracaia,SP,24,,
Piracicaba,SP,10,,
Piraju,SP,20,,
Pirajuí,SP,20,,
Pirangi,SP,14,,
Pirapora do Bom Jesus,SP,7,,
Pirapozinho,SP,24,,
Pirassununga,SP,18,,
Piratininga,SP,12,,
Pitangueiras,SP,16,,
Planalto,SP,30,,
Platina,SP,20,,
Poá,SP,5,,
Poloni,SP,30,,
Pompéia,SP,18,,
Pongaí,SP,20,,
Pontal,SP,12,,
Pontalinda,SP,26,,
Pontes Gestal,SP,30,,
Populina,SP,30,,
Porangaba,SP,30,,
Porto Feliz,SP,12,,
Porto Ferreira,SP,16,,
Potim,SP,24,,
Potirendaba,SP,20,,
Pracinha,SP,20,,
Pradópolis,SP,12,,
Praia Grande,SP,10,,
Pratânia,SP,16,,
Presidente Alves,SP,20,,
Presidente Bernardes,SP,22,,
Presidente Epitácio,SP,30,,
Presidente Prudente,SP,22,,
Presidente Venceslau,SP,30,,
Promissão,SP,22,,
Quadra,SP,18,,
Quatá,SP,20,,
Queiroz,SP,20,,
Queluz,SP,24,,
Quintana,SP,18,,
Rafard,SP,10,,
Rancharia,SP,24,,
Redenção da Serra,SP,40,,
Regente Feijó,SP,24,,
Reginópolis,SP,20,,
Registro,SP,16,,
Restinga,SP,16,,
Ribeira,SP,16,,
Ribeirão Bonito,SP,12,,
Ribeirão Branco,SP,16,,
Ribeirão Corrente,SP,16,,
Ribeirão do Sul,SP,20,,
Ribeirão dos ═ndios,SP,30,,
Ribeirão Grande,SP,16,,
Ribeirão Pires,SP,5,,
Ribeirão Preto,SP,10,,
Rifaina,SP,20,,
Rincão,SP,12,,
Rinópolis,SP,18,,
Rio Claro,SP,14,,
Rio das Pedras,SP,10,,
Rio Grande da Serra,SP,5,,
Riolândia,SP,30,,
Riversul,SP,20,,
Rosana,SP,30,,
Roseira,SP,22,,
Rubiácea,SP,30,,
Rubinéia,SP,30,,
Sabino,SP,22,,
Sagres,SP,22,,
Sales,SP,22,,
Sales Oliveira,SP,16,,
Salesópolis,SP,7,,
Salmourão,SP,22,,
Saltinho,SP,10,,
Salto,SP,12,,
Salto de Pirapora,SP,12,,
Salto Grande,SP,20,,
Sandovalina,SP,30,,
Santa Adélia,SP,16,,
Santa Albertina,SP,30,,
Santa Bárbara D'oeste,SP,10,,
Santa Branca,SP,20,,
Santa Clara D'oeste,SP,30,,
Santa Cruz da Conceição,SP,18,,
Santa Cruz da Esperança,SP,16,,
Santa Cruz das Palmeiras,SP,18,,
Santa Cruz do Rio Pardo,SP,20,,
Santa Ernestina,SP,14,,
Santa Fé do Sul,SP,30,,
Santa Gertrudes,SP,10,,
Santa Isabel,SP,7,,
Santa Lúcia,SP,12,,
Santa Maria da Serra,SP,24,,
Santa Mercedes,SP,30,,
Santa Rita do Passa Quatro,SP,14,,
Santa Rita D'oeste,SP,26,,
Santa Rosa de Viterbo,SP,14,,
Santa Salete,SP,26,,
Santana da Ponte Pensa,SP,26,,
Santana de Parnaíba,SP,7,,
Santo Anastácio,SP,30,,
Santo André,SP,5,,
Santo Antânio da Alegria,SP,22,,
Santo Antânio de Aracanguá,SP,30,,
Santo Antânio de Posse,SP,12,,
Santo Antânio do Jardim,SP,22,,
Santo Antânio do Pinhal,SP,14,,
Santo Expedito,SP,24,,
Santópolis do Aguapeí,SP,30,,
Santos,SP,10,,
São Bento do Sapucaí,SP,20,,
São Bernardo do Campo,SP,5,,
São Caetano do Sul,SP,5,,
São Carlos,SP,12,,
São Francisco,SP,22,,
São João da Boa Vista,SP,22,,
São João das Duas Pontes,SP,26,,
São João de Iracema,SP,35,,
São João do Pau D'alho,SP,24,,
São Joaquim da Barra,SP,22,,
São José da Bela Vista,SP,16,,
São José do Barreiro,SP,24,,
São José do Rio Pardo,SP,22,,
São José do Rio Preto,SP,12,,
São José dos Campos,SP,12,,
São Lourenço da Serra,SP,5,,
São Luís do Paraitinga,SP,40,,
São Manuel,SP,16,,
São Miguel Arcanjo,SP,16,,
São Paulo,SP,5,,
São Pedro,SP,16,,
São Pedro do Turvo,SP,20,,
São Roque,SP,12,,
São Sebastião,SP,16,,
São Sebastião da Grama,SP,22,,
São Simão,SP,16,,
São Vicente,SP,10,,
Sarapuí,SP,20,,
Sarutaiá,SP,20,,
Sebastianópolis do Sul,SP,35,,
Serra Azul,SP,12,,
Serra Negra,SP,16,,
Serrana,SP,12,,
Sertãozinho,SP,12,,
Sete Barras,SP,16,,
Severínia,SP,16,,
Silveiras,SP,35,,
Socorro,SP,16,,
Sorocaba,SP,12,,
Sud Mennucci,SP,30,,
Sumaré,SP,10,,
Suzanápolis,SP,30,,
Suzano,SP,5,,
Tabapuã,SP,16,,
Tabatinga,SP,12,,
Taboão da Serra,SP,5,,
Taciba,SP,24,,
Taguaí,SP,20,,
Taiaçu,SP,16,,
Taiúva,SP,14,,
Tambaú,SP,20,,
Tanabi,SP,24,,
Tapiraí,SP,16,,
Tapiratiba,SP,22,,
Taquaral,SP,16,,
Taquaritinga,SP,14,,
Taquarituba,SP,20,,
Taquarivaí,SP,20,,
Tarabai,SP,24,,
Tarumã,SP,20,,
Tatuí,SP,18,,
Taubaté,SP,20,,
Tejupá,SP,20,,
Teodoro Sampaio,SP,30,,
Terra Roxa,SP,20,,
Tietê,SP,26,,
Timburi,SP,20,,
Torre de Pedra,SP,30,,
Torrinha,SP,24,,
Trabiju,SP,12,,
Tremembé,SP,16,,
Três Fronteiras,SP,26,,
Tuiuti,SP,16,,
Tupã,SP,20,,
Tupi Paulista,SP,18,,
Turiúba,SP,30,,
Turmalina,SP,26,,
Ubarana,SP,30,,
Ubatuba,SP,16,,
Ubirajara,SP,16,,
Uchoa,SP,16,,
União Paulista,SP,30,,
Urânia,SP,26,,
Uru,SP,20,,
Urupês,SP,22,,
Valentim Gentil,SP,24,,
Valinhos,SP,10,,
Valparaíso,SP,30,,
Vargem,SP,16,,
Vargem Grande do Sul,SP,22,,
Vargem Grande Paulista,SP,5,,
Várzea Paulista,SP,12,,
Vera Cruz,SP,14,,
Vinhedo,SP,10,,
Viradouro,SP,16,,
Vista Alegre do Alto,SP,14,,
Vitória Brasil,SP,26,,
Votorantim,SP,12,,
Votuporanga,SP,24,,
Zacarias,SP,30,,
Abreulândia,TO,80,,
Aguiarnópolis,TO,80,,
Aliança do Tocantins,TO,80,,
Almas,TO,80,,
Alvorada,TO,80,,
Ananás,TO,80,,
Angico,TO,80,,
Aparecida do Rio Negro,TO,80,,
Aragominas,TO,80,,
Araguacema,TO,80,,
Araguaçu,TO,70,,
Araguaína,TO,80,,
Araguanã,TO,80,,
Araguatins,TO,80,,
Arapoema,TO,80,,
Arraias,TO,80,,
Augustinópolis,TO,80,,
Aurora do Tocantins,TO,80,,
Axixá do Tocantins,TO,80,,
Babaçulândia,TO,80,,
Bandeirantes do Tocantins,TO,80,,
Barra do Ouro,TO,80,,
Barrolândia,TO,80,,
Bernardo Sayão,TO,80,,
Bom Jesus do Tocantins,TO,80,,
Brasilândia do Tocantins,TO,80,,
Brejinho de Nazaré,TO,80,,
Buriti do Tocantins,TO,80,,
Cachoeirinha,TO,80,,
Campos Lindos,TO,80,,
Cariri do Tocantins,TO,80,,
Carmolândia,TO,80,,
Carrasco Bonito,TO,80,,
Caseara,TO,80,,
Centenário,TO,80,,
Chapada da Natividade,TO,80,,
Chapada de Areia,TO,80,,
Colinas do Tocantins,TO,80,,
Colméia,TO,80,,
Combinado,TO,80,,
Conceição do Tocantins,TO,80,,
Couto Magalhães,TO,80,,
Cristalândia,TO,80,,
Crixás do Tocantins,TO,80,,
Darcinópolis,TO,80,,
Dianópolis,TO,80,,
Divinópolis do Tocantins,TO,80,,
Dois Irmãos do Tocantins,TO,80,,
Dueré,TO,80,,
Esperantina,TO,80,,
Fátima,TO,80,,
Figueirópolis,TO,80,,
Filadélfia,TO,80,,
Formoso do Araguaia,TO,80,,
Fortaleza do Tabocão,TO,80,,
Goianorte,TO,80,,
Goiatins,TO,80,,
Guaraí,TO,80,,
Gurupi,TO,80,,
Ipueiras,TO,80,,
Itacajá,TO,80,,
Itaguatins,TO,80,,
Itapiratins,TO,80,,
Itaporã do Tocantins,TO,80,,
Jaú do Tocantins,TO,80,,
Juarina,TO,80,,
Lagoa da Confusão,TO,80,,
Lagoa do Tocantins,TO,80,,
Lajeado,TO,80,,
Lavandeira,TO,80,,
Lizarda,TO,80,,
Luzinópolis,TO,80,,
Marianópolis do Tocantins,TO,80,,
Mateiros,TO,80,,
Maurilândia do Tocantins,TO,80,,
Miracema do Tocantins,TO,80,,
Miranorte,TO,80,,
Monte do Carmo,TO,80,,
Monte Santo do Tocantins,TO,80,,
Muricilândia,TO,80,,
Natividade,TO,80,,
Nazaré,TO,80,,
Nova Olinda,TO,80,,
Nova Rosalândia,TO,80,,
Novo Acordo,TO,80,,
Novo Alegre,TO,80,,
Novo Jardim,TO,80,,
Oliveira de Fátima,TO,80,,
Palmas,TO,80,,
Palmeirante,TO,80,,
Palmeiras do Tocantins,TO,80,,
Palmeirópolis,TO,80,,
Paraíso do Tocantins,TO,80,,
Paranã,TO,80,,
Pau D'arco,TO,80,,
Pedro Afonso,TO,80,,
Peixe,TO,80,,
Pequizeiro,TO,80,,
Pindorama do Tocantins,TO,80,,
Piraquê,TO,80,,
Pium,TO,80,,
Ponte Alta do Bom Jesus,TO,80,,
Ponte Alta do Tocantins,TO,80,,
Porto Alegre do Tocantins,TO,80,,
Porto Nacional,TO,80,,
Praia Norte,TO,80,,
Presidente Kennedy,TO,80,,
Pugmil,TO,80,,
Recursolândia,TO,80,,
Riachinho,TO,80,,
Rio da Conceição,TO,80,,
Rio dos Bois,TO,80,,
Rio Sono,TO,80,,
Sampaio,TO,80,,
Sandolândia,TO,70,,
Santa Fé do Araguaia,TO,80,,
Santa Maria do Tocantins,TO,80,,
Santa Rita do Tocantins,TO,80,,
Santa Rosa do Tocantins,TO,80,,
Santa Tereza do Tocantins,TO,80,,
Santa Terezinha do Tocantins,TO,80,,
São Bento do Tocantins,TO,80,,
São Félix do Tocantins,TO,80,,
São Miguel do Tocantins,TO,80,,
São Salvador do Tocantins,TO,80,,
São Sebastião do Tocantins,TO,80,,
São Valério da Natividade,TO,80,,
Silvanópolis,TO,80,,
Sítio Novo do Tocantins,TO,80,,
Sucupira,TO,80,,
Taguatinga,TO,80,,
Taipas do Tocantins,TO,80,,
Talismã,TO,80,,
Tocantínia,TO,80,,
Tocantinópolis,TO,80,,
Tupirama,TO,80,,
Tupiratins,TO,80,,
Wanderlândia,TO,80,,
Xambioá,TO,80,,
